Código,Banco,Site,
246,Banco ABC Brasil S.A.,www.abcbrasil.com.br,
748,Banco Cooperativo Sicredi S.A.,www.sicredi.com.br,
117,Advanced Cc Ltda,https://advancedcorretora.com.br/,
121,Banco Agibank S.A.,www.agibank.com.br,
172,Albatross Ccv S.A,http://www.albatrossccv.com.br/,
188,Ativa Investimentos S.A,https://www.ativainvestimentos.com.br/,
280,Avista S.A. Crédito, Financiamento e Investimento,https://www.avistafinanceira.com.br/
80,B&T Cc Ltda,https://btcorretora.com.br/,
654,Banco A.J.Renner S.A.,www.bancorenner.com.br,
246,Banco ABC Brasil S.A.,www.abcbrasil.com.br,
75,Banco ABN AMRO S.A,www.abnamro.com,
121,Banco Agibank S.A.,www.agibank.com.br,
25,Banco Alfa S.A.,www.bancoalfa.com.br,
641,Banco Alvorada S.A.,,
65,Banco Andbank (Brasil) S.A.,www.andbank-lla.com.br,
213,Banco Arbi S.A.,www.arbi.com.br,
96,Banco B3 S.A.,www.bmfbovespa.com.br/bancobmfbovespa/,
24,Banco BANDEPE S.A.,www.santander.com.br,
318,Banco BMG S.A.,www.bancobmg.com.br,
752,Banco BNP Paribas Brasil S.A.,www.bnpparibas.com.br,
107,Banco BOCOM BBM S.A.,www.bancobbm.com.br,
63,Banco Bradescard S.A.,www.ibi.com.br,
36,Banco Bradesco BBI S.A.,,
122,Banco Bradesco BERJ S.A.,,
204,Banco Bradesco Cartões S.A.,,
394,Banco Bradesco Financiamentos S.A.,,
237,Banco Bradesco S.A.,www.bradesco.com.br,
218,Banco BS2 S.A.,www.bs2.com/banco/,
208,Banco BTG Pactual S.A.,www.btgpactual.com,
336,Banco C6 S.A – C6 Bank,https://www.c6bank.com.br/,
473,Banco Caixa Geral – Brasil S.A.,www.bcgbrasil.com.br,
412,Banco Capital S.A.,www.bancocapital.com.br,
40,Banco Cargill S.A.,www.bancocargill.com.br,
368,Banco Carrefour,https://www.carrefoursolucoes.com.br/,
266,Banco Cédula S.A.,www.bancocedula.com.br,
739,Banco Cetelem S.A.,www.cetelem.com.br,
233,Banco Cifra S.A.,www.bancocifra.com.br,
745,Banco Citibank S.A.,www.citibank.com.br,
241,Banco Clássico S.A.,www.bancoclassico.com.br,
756,Banco Cooperativo do Brasil S.A. – BANCOOB,www.bancoob.com.br,
748,Banco Cooperativo Sicredi S.A.,www.sicredi.com.br,
222,Banco Credit Agricole Brasil S.A.,www.calyon.com.br,
505,Banco Credit Suisse (Brasil) S.A.,www.csfb.com,
69,Banco Crefisa S.A.,www.crefisa.com.br,
3,Banco da Amazônia S.A.,www.bancoamazonia.com.br,
83,Banco da China Brasil S.A.,www.boc-brazil.com,
707,Banco Daycoval S.A.,www.daycoval.com.br,
51,Banco de Desenvolvimento do Espírito Santo S.A.,,
300,Banco de La Nacion Argentina,www.bna.com.ar,
495,Banco de La Provincia de Buenos Aires,www.bapro.com.ar,
494,Banco de La Republica Oriental del Uruguay,www.bancorepublica.com.uy,
335,Banco Digio S.A,https://www.digio.com.br/,
1,Banco do Brasil S.A.,www.bb.com.br,
47,Banco do Estado de Sergipe S.A.,www.banese.com.br,
37,Banco do Estado do Pará S.A.,www.banpara.b.br,
41,Banco do Estado do Rio Grande do Sul S.A.,www.banrisul.com.br,
4,Banco do Nordeste do Brasil S.A.,www.banconordeste.gov.br,
196,Banco Fair Corretora de Câmbio S.A,https://www.faircorretora.com.br/,
265,Banco Fator S.A.,www.fator.com.br,
224,Banco Fibra S.A.,www.bancofibra.com.br,
626,Banco Ficsa S.A.,www.ficsa.com.br,
94,Banco Finaxis S.A.,www.bancofinaxis.com.br,
612,Banco Guanabara S.A.,www.bancoguanabara.com.br,
12,Banco Inbursa S.A.,www.bancoinbursa.com,
604,Banco Industrial do Brasil S.A.,www.bancoindustrial.com.br,
653,Banco Indusval S.A.,www.bip.b.br,
77,Banco Inter S.A.,www.bancointer.com.br,
249,Banco Investcred Unibanco S.A.,,
184,Banco Itaú BBA S.A.,www.itaubba.com.br,
29,Banco Itaú Consignado S.A.,,
479,Banco ItauBank S.A,www.itaubank.com.br,
376,Banco J. P. Morgan S.A.,www.jpmorgan.com,
74,Banco J. Safra S.A.,www.safra.com.br,
217,Banco John Deere S.A.,www.johndeere.com.br,
76,Banco KDB S.A.,www.bancokdb.com.br,
757,Banco KEB HANA do Brasil S.A.,www.bancokeb.com.br,
600,Banco Luso Brasileiro S.A.,www.lusobrasileiro.com.br,
243,Banco Máxima S.A.,www.bancomaxima.com.br,
720,Banco Maxinvest S.A.,www.bancomaxinvest.com.br,
389,Banco Mercantil de Investimentos S.A.,www.mercantil.com.br,
389,Banco Mercantil do Brasil S.A.,www.mercantil.com.br,
370,Banco Mizuho do Brasil S.A.,www.mizuhobank.com/brazil/pt/,
746,Banco Modal S.A.,www.bancomodal.com.br,
66,Banco Morgan Stanley S.A.,www.morganstanley.com.br,
456,Banco MUFG Brasil S.A.,www.br.bk.mufg.jp,
7,Banco Nacional de Desenvolvimento Econômico e Social – BNDES,www.bndes.gov.br,
169,Banco Olé Bonsucesso Consignado S.A.,www.oleconsignado.com.br,
111,Banco Oliveira Trust Dtvm S.A,http://www.oliveiratrust.com.br/portal/,
79,Banco Original do Agronegócio S.A.,www.original.com.br,
212,Banco Original S.A.,www.original.com.br,
712,Banco Ourinvest S.A.,www.ourinvest.com.br,
623,Banco PAN S.A.,www.bancopan.com.br,
611,Banco Paulista S.A.,www.bancopaulista.com.br,
643,Banco Pine S.A.,www.pine.com,
658,Banco Porto Real de Investimentos S.A.,,
747,Banco Rabobank International Brasil S.A.,www.rabobank.com.br,
633,Banco Rendimento S.A.,www.rendimento.com.br,
741,Banco Ribeirão Preto S.A.,www.brp.com.br,
120,Banco Rodobens S.A.,www.rodobens.com.br,
422,Banco Safra S.A.,www.safra.com.br,
33,Banco Santander (Brasil) S.A.,www.santander.com.br,
743,Banco Semear S.A.,www.bancosemear.com.br,
754,Banco Sistema S.A.,www.btgpactual.com,
630,Banco Smartbank S.A.,,
366,Banco Société Générale Brasil S.A.,www.sgbrasil.com.br,
637,Banco Sofisa S.A.,www.sofisa.com.br,
464,Banco Sumitomo Mitsui Brasileiro S.A.,www.smbcgroup.com.br,
82,Banco Topázio S.A.,www.bancotopazio.com.br,
634,Banco Triângulo S.A.,www.tribanco.com.br,
18,Banco Tricury S.A.,www.bancotricury.com.br,
655,Banco Votorantim S.A.,www.bancovotorantim.com.br,
610,Banco VR S.A.,www.vrinvestimentos.com.br,
119,Banco Western Union do Brasil S.A.,www.bancowesternunion.com.br,
124,Banco Woori Bank do Brasil S.A.,www.wooribank.com.br,
348,Banco Xp S/A,,
81,BancoSeguro S.A.,www.rendimento.com.br,
21,BANESTES S.A. Banco do Estado do Espírito Santo,www.banestes.com.br,
755,Bank of America Merrill Lynch Banco Múltiplo S.A.,www.ml.com,
268,Barigui Companhia Hipotecária,,
250,BCV – Banco de Crédito e Varejo S.A.,www.bancobcv.com.br,
144,BEXS Banco de Câmbio S.A.,www.bexs.com.br,
253,Bexs Corretora de Câmbio S/A,,
134,Bgc Liquidez Dtvm Ltda,http://www.bgcliquidez.com/,
17,BNY Mellon Banco S.A.,www.bnymellon.com.br,
301,Bpp Instituição De Pagamentos S.A,https://bpp.com.br/,
126,BR Partners Banco de Investimento S.A.,www.brap.com.br,
70,BRB – Banco de Brasília S.A.,www.brb.com.br,
92,Brickell S.A. Crédito, Financiamento e Investimento,www.brickellcfi.com.br
173,BRL Trust Distribuidora de Títulos e Valores Mobiliários S.A.,https://www.brltrust.com.br/,
142,Broker Brasil Cc Ltda,https://www.brokerbrasilcambio.com.br/site/,
292,BS2 Distribuidora de Títulos e Valores Mobiliários S.A.,,
11,C.Suisse Hedging-Griffo Cv S.A (Credit Suisse),https://www.cshg.com.br,
104,Caixa Econômica Federal,www.caixa.gov.br,
288,Carol Distribuidora de Títulos e Valor Mobiliários Ltda,http://www.caroldtvm.com.br/,
