Classe;Especificação;Nº de base
40;Abate de animais;400094
45;Abertura de fechaduras de segurança;450033
40;Abrasão;400001
39;Abrigo de barcos;390071
40;Acabamentos para papel [tratamento];400006
41;Academias [educação];410002
40;Acetinagem de peles [peleteria];400071
40;Acolchoamento;400092
39;Acompanhamento de viajantes;390002
40;Acondicionamento de peles [peleteria];400020
44;Aconselhamento em questões de saúde;440212
44;Aconselhamento médico para indivíduos com deficiências;440215
35;Administração comercial do licenciamento de produtos e serviços de terceiros;350096
36;Administração de imóveis;360032
35;Administração de negócios de programas de reembolso para terceiros;350124
35;Administração de negócios na área esportiva;350105
35;Administração de programas de fidelidade de consumidores;350131
35;Administração de programas de viajantes frequentes;350128
36;Administração financeira;360030
45;Administração legal de licenças;450223
36;Administração predial;360033
37;Afiação de faca;370106
37;Afinação de instrumentos musicais;370139
39;Afretamento;390039
35;Agenciamento de artistas;350079
35;Agências de modelos para publicidade ou promoção de vendas;350049
41;Agências de notícias;410103
40;Alfaiataria;400053
43;Aluguel de acomodações temporárias;430028
39;Aluguel de aeronaves;390102
45;Aluguel de alarmes de incêndio;450203
40;Aluguel de aparelhos de ar condicionado;400118
43;Aluguel de aparelhos de cozimento;430190
38;Aluguel de aparelhos de fac-símile [fax];380031
41;Aluguel de aparelhos de rádio e televisão;410025
38;Aluguel de aparelhos de telefones;380034
38;Aluguel de aparelhos de transmissão de mensagens;380029
40;Aluguel de aparelhos para aquecimento de ambientes;400119
40;Aluguel de aparelhos para ar condicionado;400118
36;Aluguel de apartamentos;360035
40;Aluguel de aquecedores;400123
39;Aluguel de armazéns;390035
39;Aluguel de barcos;390012
43;Aluguel de barracas [tendas];430189
37;Aluguel de bombas de drenagem;370134
41;Aluguel de brinquedos;410197
37;Aluguel de buldôzeres;370013
39;Aluguel de cadeiras de rodas;390092
43;Aluguel de cadeiras, mesas, toalhas de mesa e artigos de vidro;430186
41;Aluguel de câmeras de vídeo;410088
35;Aluguel de cartazes/outdoors publicitários;350125
39;Aluguel de cavalos;390019
41;Aluguel de cenários para palco;410032
41;Aluguel de cenários para shows;410013
45;Aluguel de cofres;450215
42;Aluguel de computadores;420083
43;Aluguel de construções transportáveis *;430160
39;Aluguel de contêineres de armazenagem;390080
43;Aluguel de dispensadores de água potável;430191
41;Aluguel de equipamento de áudio;410085
37;Aluguel de equipamento de construção;370020
41;Aluguel de equipamento de jogos;410198
41;Aluguel de equipamento para mergulho;410065
44;Aluguel de equipamentos agrícolas;440084
43;Aluguel de equipamentos de iluminação*;430192
37;Aluguel de equipamentos de limpeza;370090
38;Aluguel de equipamentos de telecomunicação;380033
41;Aluguel de equipamentos desportivos [exceto veículos];410066
41;Aluguel de equipamentos para gravação de som;410018
41;Aluguel de equipamentos para iluminação de teatro ou estúdios de televisão;410086
37;Aluguel de escavadeiras;370044
36;Aluguel de escritórios [imóveis];360069
35;Aluguel de espaço publicitário;350070
41;Aluguel de estádios;410067
35;Aluguel de estande de vendas;350109
45;Aluguel de extintores de incêndio;450204
41;Aluguel de filmes cinematográficos;410019
41;Aluguel de fitas de vídeo;410069
39;Aluguel de freezers;390099
39;Aluguel de garagem;390040
40;Aluguel de geradores;400104
37;Aluguel de guindaste;370120
44;Aluguel de instalações sanitárias;440188
37;Aluguel de máquinas de lavar roupas;370135
40;Aluguel de máquinas de tricotar;400112
35;Aluguel de máquinas de venda automática;350089
35;Aluguel de máquinas e equipamentos de escritório *;350013
35;Aluguel de máquinas fotocopiadoras;350083
37;Aluguel de máquinas para varrer ruas;370121
35;Aluguel de material publicitário;350035
38;Aluguel de modems;380032
39;Aluguel de motores de aeronaves;390105
39;Aluguel de ônibus especiais;390104
39;Aluguel de porta-bagagem de teto;390081
41;Aluguel de quadras de tênis;410087
39;Aluguel de refrigeradores;390043
45;Aluguel de roupas;450081
39;Aluguel de roupas de mergulho;390079
43;Aluguel de salas de reunião;430187
39;Aluguel de sinos de imersão;390078
39;Aluguel de sistemas de navegação;390107
42;Aluguel de software de computador;420159
38;Aluguel de tempo de acesso à rede global de computadores;380041
35;Aluguel de tempo de publicidade em meios de comunicação;350087
45;Aluguel de trajes a rigor;450046
39;Aluguel de tratores;390110
39;Aluguel de trens;390045
39;Aluguel de vaga de garagem;390042
39;Aluguel de veículos;390044
41;Aluguel de videocassetes;410068
42;Análise da água;420216
42;Análise da escrita [grafologia];420211
35;Análise de custo;350007
42;Análise de sistemas [informática];420177
36;Análise financeira;360046
42;Análise para exploração de campos petrolíferos;420008
42;Análises químicas;420007
40;Aplainar [serraria];400050
40;Aplicação de aviamentos em têxteis;400005
41;Apresentação de espetáculos ao vivo;410056
41;Apresentação de espetáculos circenses;410009
41;Apresentação de espetáculos de variedades;410027
35;Apresentação de produtos em meios de comunicação para fins de comércio varejista;350092
39;Armazenagem;390034
39;Armazenagem de mercadorias;390028
39;Armazenagem física de dados ou documentos armazenados eletronicamente;390094
39;Armazenamento de informações;390076
42;Armazenamento eletrônico de dados;420226
44;Aromaterapia;440193
37;Asfaltamento;370005
43;Asilos para idosos;430013
44;Aspersão, aérea ou de superfície, de fertilizantes e outras substâncias químicas agrícolas;440115
37;Assentamento de tijolos;370101
35;Assessoria em gestão comercial ou industrial;350025
35;Assessoria em gestão de negócios;350001
35;Assessoria em gestão industrial ou comercial;350025
44;Assistência médica;440087
44;Assistência veterinária;440111
35;Atualização de material publicitário;350027
42;Atualização de software de computador;420140
35;Atualização e manutenção de dados em bancos de dados de computadores;350117
42;Auditoria de energia;420218
35;Auditoria em negócios;350017
41;Aulas de ginástica;410021
41;Aulas particulares;410202
42;Autenticação de obras de arte;420132
42;Avaliação da qualidade da lã;420214
36;Avaliação de antigüidades;360051
36;Avaliação de arte;360052
36;Avaliação de joias;360061
35;Avaliação de madeira em pé [para construção];350010
42;Avaliação de qualidade d madeira em pé;420213
42;Avaliação de qualidade de madeira em pé;420213
36;Avaliação filatélica;360064
36;Avaliação financeira [seguros, bancos, imóveis];360026
36;Avaliação financeira de lã;360107
36;Avaliação financeira de madeira em pé;360105
36;Avaliação imobiliária;360014
36;Avaliação numismática;360062
35;Avaliações de negócios;350032
42;Backup de dados off site;420225
37;Balanceamento de pneus;370138
38;BBS [serviços de telecomunicação];380036
42;Borrifação de nuvens;420202
40;Branqueamento de tecidos;400008
40;Brasagem;400011
40;Calandragem de tecidos;400014
42;Calibragem [medição];420136
36;Câmara de Compensação [bancário];360021
36;Captação de financiamento para projetos de construção;360112
36;Captação de fundos para caridade;360015
35;Captação de patrocínio;350102
39;Carregamento de bagagens;390021
37;Carregamento de baterias de veículos;370137
43;Casas de retiro;430013
43;Casas para turistas [alojamento];430071
44;Cirurgia de árvores;440166
44;Cirurgia plástica;440156
39;Coleta de bens recicláveis [transporte];390111
37;Colocação de papel de parede;370064
41;Colônia de férias;410055
43;Colônia de férias [alojamento];430145
40;Coloração de vidros de janelas por meio de revestimento da superfície;400065
45;Combate ao fogo;450179
35;Comerciais de rádio;350040
35;Comerciais de televisão;350044
35;Comércio, no atacado ou varejo, de preparações sanitárias, farmacêuticas ou veterinárias e suprimentos médicos;350108
35;Comparação de Preços;350091
36;Compensação [bancário];360021
35;Compilação de informação em bancos de dados de computador;350080
35;Compilação de informação para bancos de dados de computador;350080
35;Compilações de estatísticas;350100
41;Composição de canções;410204
42;Computação em nuvem;420229
38;Comunicação por rádio;380052
38;Comunicação por redes de fibra óptica;380030
38;Comunicação por telefone celular;380022
38;Comunicação por terminais de computador;380023
38;Comunicações por telefone;380010
38;Comunicações por telegramas;380008
45;Condução de cerimônias fúnebres;450229
41;Condução de visitas guiadas;410206
45;Confecção de horóscopos [mapa astral];450146
40;Confecção de roupas;400012
40;Congelamento de alimentos;400117
37;Conserto de bomba;370073
37;Conserto de estofamento;370017
37;Conserto de roupas;370032
37;Conserto de sapatos;370025
40;Conservação de alimentos e bebidas;400066
37;Conservação, limpeza e conserto de peles [de animais];370048
37;Construção *;370029
37;Construção de fábricas;370052
37;Construção de portos;370074
37;Construção de quebra-mar;370061
37;Construção e manutenção de oleoduto;370063
37;Construção e reparos de armazém;370041
37;Construção naval;370021
37;Construção subaquática;370030
45;Consultoria astrológica;450224
42;Consultoria em arquitetura;420036
42;Consultoria em design de websites;420219
42;Consultoria em design e desenvolvimento de hardware de computador;420141
44;Consultoria em farmacêutica;440154
35;Consultoria em gestão de negócios;350048
35;Consultoria em gestão de negócios;350020
35;Consultoria em gestão de pessoal;350019
35;Consultoria em gestão e organização de negócios;350018
42;Consultoria em hardware de computador;420141
35;Consultoria em organização de negócios;350036
45;Consultoria em propriedade intelectual;450206
45;Consultoria em segurança;450117
42;Consultoria em segurança de computadores;420235
36;Consultoria em seguros;360055
42;Consultoria em tecnologia da computação;420232
42;Consultoria em tecnologia da informação;420221
42;Consultoria em tecnologia das telecomunicações;420233
45;Consultoria espiritual;450225
36;Consultoria financeira;360054
36;Consultoria fiscal;360025
37;Consultoria na área de construção civil;370131
42;Consultoria na área de economia de energia;420207
35;Consultoria profissional em negócios;350062
42;Consultoria tecnológica;420231
35;Contabilidade;350015
42;Controle de qualidade;420157
42;Conversão de dados e documentos de suporte físico para suporte eletrônico;420198
42;Conversão de dados e programas de computador [exceto conversão física];420203
40;Copiagem de chaves;400108
36;Corretagem *;360005
36;Corretagem de ações e títulos;360116
36;Corretagem de seguros;360010
39;Corretagem de transporte;390073
36;Corretagem de valores;360043
36;Corretagem imobiliária;360008
39;Corretagem marítima;390023
40;Corte de tecidos;400021
36;Cotações de bolsa de valores;360067
40;Cozimento de cerâmica;400015
44;Criação de animais;440009
42;Criação e manutenção de web sites para terceiros;420199
40;Cromagem;400017
41;Cronometragem de eventos desportivos;410073
44;Cuidados paliativos;440218
41;Cursos por correspondência;410011
40;Curtimento;400054
45;Dama de companhia;450002
40;Debruar roupas;400010
40;Decapagem;400095
42;Decoração de interiores;420048
35;Decoração de vitrines;350046
40;Defumação de alimentos;400033
37;Demolição de edificações;370036
35;Demonstração de produtos;350023
44;Depilação com cera;440213
39;Depósito;390034
36;Depósitos de objetos de valor;360066
40;Derrubada e processamento de madeira;400067
39;Descarregamento [carga];390026
40;Descontaminação de materiais perigosos;400109
36;Desconto de títulos [factoring];360027
39;Desencalhe de navios;390055
42;Desenhista de moda;420142
42;Desenho de plantas para construção;420038
42;Desenho industrial;420049
42;Design de interiores;420237
35;Design de material publicitário;350121
37;Desinfecção;370038
40;Desodorizar o ar;400081
37;Desratização;370076
44;Destruição de ervas daninhas;440171
40;Destruição de lixo e resíduos;400105
45;Devolução de objetos perdidos;450200
35;Digitação;350022
42;Digitalização de documentos [scanning];420210
39;Distribuição de água;390030
35;Distribuição de amostras;350028
39;Distribuição de eletricidade;390031
39;Distribuição de energia;390090
35;Distribuição de material publicitário;350008
40;Douração;400024
41;Dublagem;410079
42;Duplicação de programas de computador;420197
41;Edição de videoteipe;410090
